"filename", "language", "C#", "MonoGame Content Builder", "comment", "blank", "total"
"/home/kayla/Documents/GitHub/ThermalSimulation/Content/Content.mgcb", "MonoGame Content Builder", 0, 25, 3, 3, 31
"/home/kayla/Documents/GitHub/ThermalSimulation/Game1.cs", "C#", 4, 0, 0, 0, 4
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/GameObject.cs", "C#", 4, 0, 0, 1, 5
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/NumInput.cs", "C#", 4, 0, 0, 1, 5
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/ObjectCollections/CollisionCounter.cs", "C#", 7, 0, 0, 0, 7
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/ObjectCollections/ObjectCollection.cs", "C#", 1, 0, 0, 0, 1
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/ObjectCollections/RadioButtons.cs", "C#", 11, 0, 0, 1, 12
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/ObjectCollections/Slider.cs", "C#", 8, 0, 0, 0, 8
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/GameObjects/ObjectCollections/UpDownButton.cs", "C#", 8, 0, 0, 0, 8
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/Handlers/Handler.cs", "C#", 2, 0, 0, 0, 2
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/Handlers/QuestionHandler.cs", "C#", 107, 0, 10, 14, 131
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/Handlers/SimulationHandler.cs", "C#", 5, 0, 0, -1, 4
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/QuestionHandling/Question.cs", "C#", -5, 0, 0, -1, -6
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/QuestionHandling/QuestionInterface.cs", "C#", 11, 0, 0, 2, 13
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/QuestionHandling/QuestionType.cs", "C#", 6, 0, 0, 1, 7
"Total", "-", 173, 25, 13, 21, 232
